"Age","dx","qx"
0,585,0.005849
1,40,0.000403
2,26,0.000259
3,21,0.000208
4,15,0.000155
5,14,0.000144
6,13,0.000132
7,12,0.000121
8,11,0.000109
9,10,0.000096
10,9,0.000091
11,11,0.000107
12,16,0.000159
13,25,0.000255
14,38,0.000385
15,52,0.000529
16,67,0.000676
17,82,0.000831
18,98,0.000991
19,114,0.001152
20,129.977024844966,0.00131976671381042
21,145.974197133577,0.00148273790650065
22,158.971899618074,0.00161971369422188
23,168.970132298456,0.00171669655122159
24,174.969071906685,0.00178468453344819
25,179.960192489886,0.0018395930787855
26,185.958865572882,0.0018985800307683
27,191.957538655878,0.00196556521352842
28,199.955769433207,0.00204954663669037
29,208.953779057701,0.00214752496371264
30,217.942487815807,0.00225040614712561
31,227.939849642221,0.00235037976538974
32,235.937739103351,0.00244735417510595
33,244.935364747123,0.00253833016772631
34,251.933518025612,0.00262630695179874
35,260.914018594714,0.00272110328971192
36,269.91105371867,0.00282606869949141
37,278.908088842625,0.00293003443870156
38,287.905123966581,0.00303200083677306
39,296.902159090537,0.0031389655876912
40,307.763167458979,0.00326149019021463
41,320.7531712803,0.00340837715650187
42,335.741637227977,0.00357724720617904
43,351.729334238833,0.00376610187711978
44,370.714724439225,0.00397993732463998
45,390.97147947519,0.00421989880015186
46,415.905885053964,0.00450315364752674
47,442.835043079041,0.00481832453404245
48,472.756329773571,0.0051674062121453
49,505.669745137554,0.00555538556295104
50,538.480588913523,0.00594613713034582
51,576.233840534766,0.00640811770939524
52,621.935145128902,0.0069585203777681
53,675.584502695932,0.00760728020168052
54,733.207886749409,0.00832657899572736
55,786.588038131028,0.00900722357734211
56,842.914065987144,0.00974242646725352
57,903.192797552462,0.0105418607924395
58,969.400584681581,0.0114312191270097
59,1038.5728995926,0.012399631535764
60,1101.0983674517,0.0133100770657561
61,1171.56866296861,0.0143563652033613
62,1237.14518796351,0.0153889507835049
63,1297.8279424364,0.0163951100028297
64,1355.57443459609,0.017414971779616
65,1403.53419353015,0.0183673575084118
66,1474.43938116178,0.0196601630527638
67,1542.43065697292,0.020996677274423
68,1614.30714854471,0.0224584897043627
69,1685.21233617634,0.023991207321934
70,1739.94891508217,0.0254063422558892
71,1811.36112790307,0.0271607666195162
72,1896.28375936576,0.0292577765987028
73,1970.59106189561,0.0313509264582775
74,2139.47129491801,0.0351801651133225
75,2211.16989072703,0.0377350707874527
76,2359.21798276275,0.0419243542175731
77,2467.1498176017,0.0458595680187806
78,2613.28761167566,0.0510135519195854
79,2696.38557301184,0.0556221457523102
80,2784.84358510366,0.0609883603341859
81,2862.9678321028,0.0669782035156935
82,2925.84832358992,0.0736273391230963
83,3023.0272649791,0.0824601427075972
84,3061.13665375917,0.0914158490709137
85,3088.17338972601,0.102007834710786
86,3004.34881899933,0.111138997608354
87,2977.67736467721,0.124694764267573
88,2894.80534589061,0.13946312954651
89,2753.82765875938,0.155448856204863
90,2567.03663576803,0.173135968883637
91,2324.37667838616,0.191512206207417
92,2047.32397113915,0.210951752714529
93,1749.25347230788,0.231339010551257
94,1447.36155682492,0.252528765884839
95,1169.16260798969,0.277246010444736
96,900.766897815343,0.299729461158909
97,668.092918851251,0.322431104069123
98,475.967932071773,0.345126954266169
99,326.322841866651,0.367593026840834
100,530.033254984591,0.96545219487175
